81	106	499	0	0
2974	95	2419	0	0
1390	84	2515	0	0
1301	44	260	0	0
2115	84	2881	0	0
176	152	465	0	0
1437	82	3243	0	0
2377	16	520	24	0
3279	110	3186	24	0
3047	118	3089	24	0
1551	44	1102	24	0
3408	95	925	24	0
2842	72	892	24	0
884	110	1733	24	0
1293	128	1551	24	0
907	138	505	24	0
925	105	3407	24	0
1437	82	3243	24	0
670	5	2385	24	0
39	29	2652	24	0
3192	82	1731	24	0
24	62	3283	48	0
3217	110	3275	48	0
1564	144	2947	48	0
1170	110	2819	48	0
1708	110	789	48	0
1122	106	1174	48	0
2377	41	2679	48	0
3327	77	2385	48	0
1282	150	443	48	0
1498	143	1184	48	0
563	72	1487	48	0
856	41	779	48	0
1137	108	569	72	0
860	82	2947	72	0
2679	117	520	72	0
3327	96	563	72	0
907	44	1564	72	0
900	110	1170	72	0
24	62	3283	72	0
2109	82	627	72	0
2419	49	39	72	0
2292	5	3015	72	0
473	152	2155	72	0
2662	5	22	72	0
2125	41	3327	72	0
984	82	761	72	0
1777	5	559	72	0
2353	41	2314	72	0
924	84	3378	72	0
2109	95	130	72	0
3279	118	3166	96	0
2052	110	2871	96	0
2058	138	2781	96	0
1556	37	2469	96	0
2599	110	2539	96	0
1531	152	1143	96	0
3250	143	1210	96	0
2014	110	2987	96	0
2109	82	627	96	0
907	41	1094	96	0
2011	110	924	96	0
550	152	1004	96	0
1305	109	334	96	0
734	5	2679	96	0
924	105	458	120	0
520	44	208	120	0
3098	29	520	120	0
1594	41	761	120	0
561	141	3357	120	0
892	133	1170	120	0
925	105	1386	120	0
1919	5	670	120	0
8	110	2880	120	0
2108	74	3066	120	0
924	110	458	120	0
3378	84	458	120	0
1080	118	1689	120	0
3093	84	2465	144	0
69	110	2385	144	0
1580	77	458	144	0
1143	44	473	144	0
2241	152	1563	144	0
1683	41	860	144	0
1644	82	810	168	0
2722	29	751	168	0
3206	41	3031	168	0
1990	110	892	168	0
2796	119	2678	168	0
3275	29	2077	168	0
2277	21	1487	168	0
523	62	3283	168	0
3260	118	2577	168	0
1735	32	591	168	0
1080	128	2548	168	0
1018	110	334	168	0
2287	41	3276	168	0
520	36	3283	168	0
3146	41	3323	168	0
1732	110	689	192	0
761	110	3279	192	0
3276	105	3279	192	0
2947	118	3093	192	0
1722	106	1214	192	0
1774	110	2397	192	0
1566	41	1102	192	0
391	110	69	192	0
2618	126	2575	192	0
2255	41	208	192	0
458	68	1102	192	0
301	49	520	192	0
3272	81	3093	192	0
1500	106	300	192	0
561	106	3276	192	0
900	68	892	192	0
670	5	1249	192	0
2039	110	1809	192	0
1846	105	1508	216	0
2108	84	3250	216	0
2187	150	2151	216	0
352	68	1102	216	0
2721	70	1785	216	0
2465	41	3093	216	0
2344	95	679	216	0
2310	110	1218	216	0
3374	84	3152	216	0
670	110	301	216	0
3192	41	2376	216	0
3276	44	2177	216	0
554	119	2704	216	0
860	84	3152	216	0
1731	84	458	216	0
2679	106	2058	216	0
261	44	518	240	0
2463	110	1564	240	0
1486	118	550	240	0
860	26	2467	240	0
119	72	550	240	0
2533	29	584	240	0
391	110	1170	240	0
591	84	777	240	0
2656	5	3223	240	0
3273	41	3254	240	0
3279	130	506	240	0
3327	112	2862	240	0
3343	84	2970	240	0
1358	77	1588	240	0
3098	29	2081	240	0
1137	108	2298	240	0
2015	110	891	240	0
3061	84	1733	240	0
3138	41	2929	240	0
3199	106	860	240	0
1651	84	409	240	0
1953	110	1159	240	0
3299	16	558	240	0
1204	84	1721	240	0
2326	110	3053	264	0
301	48	2679	264	0
2478	106	2063	264	0
1933	110	1212	264	0
340	82	984	264	0
273	5	2824	264	0
585	106	1551	264	0
736	152	2685	264	0
1024	150	3153	264	0
2013	110	3268	264	0
2795	62	1627	264	0
3061	77	1645	264	0
1513	44	1121	264	0
2899	110	1854	264	0
310	110	2167	264	0
1906	105	1580	264	0
591	44	579	264	0
907	5	2824	264	0
1380	118	2893	264	0
2831	41	301	264	0
105	88	582	264	0
721	110	2947	288	0
555	136	1564	288	0
3061	82	531	288	0
1382	94	3275	288	0
3273	128	2824	288	0
3031	44	860	288	0
883	110	1170	288	0
3250	132	2154	288	0
860	105	3374	288	0
1277	41	1099	288	0
2252	110	1604	288	0
1939	106	1334	288	0
385	41	371	288	0
3111	110	1551	288	0
2277	5	301	288	0
1553	110	1551	288	0
1551	66	523	312	0
3166	112	2878	312	0
1487	95	1332	312	0
2574	44	1329	312	0
2666	110	729	312	0
2609	41	367	312	0
3247	106	584	312	0
1888	110	860	312	0
2863	110	3174	312	0
925	106	595	336	0
2707	150	2645	336	0
910	84	3066	336	0
1825	118	1186	336	0
1580	105	3030	336	0
3192	106	2724	336	0
2558	122	556	336	0
2947	109	3279	336	0
2665	29	2073	336	0
149	106	1155	336	0
3250	150	3279	336	0
520	44	1487	336	0
3279	41	761	336	0
2401	110	1551	336	0
1293	84	267	336	0
2947	150	3279	336	0
837	110	1116	336	0
2492	7	1170	336	0
1401	106	2022	336	0
1218	143	984	360	0
3279	106	458	360	0
1360	105	3250	360	0
1815	110	1258	360	0
179	0	1548	360	0
3011	49	648	360	0
1764	5	732	360	0
2173	150	3153	360	0
2807	119	1565	360	0
